productCode,productName,description,category,price,image,sku,color,size,stock,active
URB-001,Zapatilla Urbana Modelo 01,"Zapatilla Urbana Modelo 01 de Victorino Calzados, modelo de ejemplo para carga masiva.",Urbanos,69990,👟,URB-001-NEG-39,Negro,39,2,true
URB-001,Zapatilla Urbana Modelo 01,"Zapatilla Urbana Modelo 01 de Victorino Calzados, modelo de ejemplo para carga masiva.",Urbanos,69990,👟,URB-001-NEG-40,Negro,40,4,true
URB-001,Zapatilla Urbana Modelo 01,"Zapatilla Urbana Modelo 01 de Victorino Calzados, modelo de ejemplo para carga masiva.",Urbanos,69990,👟,URB-001-BLA-40,Blanco,40,6,true
URB-001,Zapatilla Urbana Modelo 01,"Zapatilla Urbana Modelo 01 de Victorino Calzados, modelo de ejemplo para carga masiva.",Urbanos,69990,👟,URB-001-BLA-41,Blanco,41,8,true
URB-001,Zapatilla Urbana Modelo 01,"Zapatilla Urbana Modelo 01 de Victorino Calzados, modelo de ejemplo para carga masiva.",Urbanos,69990,👟,URB-001-GRI-42,Gris,42,10,true
DEP-002,Runner Modelo 02,"Runner Modelo 02 de Victorino Calzados, modelo de ejemplo para carga masiva.",Deportivos,74990,👟,DEP-002-NEG-39,Negro,39,5,true
DEP-002,Runner Modelo 02,"Runner Modelo 02 de Victorino Calzados, modelo de ejemplo para carga masiva.",Deportivos,74990,👟,DEP-002-NEG-40,Negro,40,7,true
DEP-002,Runner Modelo 02,"Runner Modelo 02 de Victorino Calzados, modelo de ejemplo para carga masiva.",Deportivos,74990,👟,DEP-002-AZU-40,Azul,40,9,true
DEP-002,Runner Modelo 02,"Runner Modelo 02 de Victorino Calzados, modelo de ejemplo para carga masiva.",Deportivos,74990,👟,DEP-002-AZU-41,Azul,41,11,true
DEP-002,Runner Modelo 02,"Runner Modelo 02 de Victorino Calzados, modelo de ejemplo para carga masiva.",Deportivos,74990,👟,DEP-002-ROJ-42,Rojo,42,13,true
